Id;Coor_X;Coor_Y;Class;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Av50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor
31;497208,32;4144760,67;1;2222190;2,22219;1,81;1,86;1,55;2,23;1,94;1,18;2,67;1065,15;1064,21;1063,62;1065,15;1064,25;1062,73;1066,13;8;308,25;388,61;452,41
32;497261,65;4144793,36;1;2342180;2,34218;2,25;5,44;1,13;64,31;18,28;1,13;111,75;1064,7;1064,46;1059,44;1065,15;1058,65;1021,11;1065,81;8;309,01;346,3;399,79
33;497550,68;4144775,3;1;567382;0,567382;24,74;23,26;7,81;37,53;23,77;7,24;56,6;945,23;946,32;942,1;955,3;950,81;932,57;980,54;2;58,82;104,38;110,2
34;497402,72;4144715,08;1;978463;0,978463;34,9;38,49;24,97;49,57;41,89;24,97;61,78;1010,49;1009,43;998,61;1019,37;1008,92;977,4;1048,07;3;74,55;188,97;263,38
35;498142,49;4144512,08;1;603364;0,603364;11,4;14,99;8,02;24,72;17,71;8,02;30,43;1005,78;1005,82;1000,63;1010,02;1007;990,73;1027,61;7;270,38;268,1;270,88
36;498145,93;4144259,18;1;729212;0,729212;41,8;42,67;20,97;74,44;44,49;19,79;74,44;1019,11;1020,78;1010,41;1035,2;1021,7;986,22;1060,02;7;287,23;101,22;101,05
37;497437,13;4144517,24;1;1011940;1,01194;74,13;68,21;6,91;108,23;63,17;1,8;114,58;1059,01;1057,56;1031,35;1071,27;1048,01;987,96;1072,5;2;32,1;146,46;307,22
38;497423,37;4144491,43;1;2333850;2,33385;5,55;21,88;1,97;90,51;30,53;1,95;100,94;1071,42;1069,38;1058,64;1071,85;1060,98;1007,2;1072,77;2;64,8;171,19;334,22
39;497444,01;4144462,19;1;2189090;2,18909;3,36;16,39;0,97;93,08;25,88;0,75;104,07;1072,01;1071,5;1065,51;1072,5;1063,92;1011,71;1073,49;8;292,49;173,15;337,75
40;497466,38;4144457,03;1;2499460;2,49946;34,57;38,44;0,75;104,07;38,49;0,69;112,53;1072,26;1068,97;1051,76;1072,79;1060,3;1000,87;1073,77;3;78,54;161,9;324,43
41;497502,51;4144438,1;1;1479820;1,47982;40,12;45,9;0,69;110,61;49,44;0,69;121,15;1070,79;1067,52;1051,79;1073,43;1057,81;998,02;1074,57;3;98,13;159,09;313,26
42;497480,14;4144204,13;1;2920320;2,92032;2,84;2,72;2,04;3,39;2,72;2,04;3,56;1078,12;1077,51;1076,76;1078,23;1077,39;1075,23;1079,43;8;325,37;389,02;455,87
43;497774,33;4144272,95;1;2935590;2,93559;6,91;43,72;0,56;136,46;49,78;0,56;142,61;1078,86;1076,2;1064,22;1079,28;1063,74;1007,28;1080,22;3;79,18;166,79;167,65
44;497708,95;4144109,51;1;2935590;2,93559;2,6;2,55;2,23;2,87;2,51;2,02;2,94;1081,42;1081,04;1080,33;1081,72;1081,08;1079,23;1083,23;8;319,17;316,6;314,01
45;497748,52;4144081,98;1;2587380;2,58738;2,57;2,45;2;2,94;2,48;1,94;3,04;1083,23;1082,22;1081,49;1083,23;1082,11;1080,25;1084,33;8;327,23;309,73;305,26
46;497877,55;4144162,84;1;2209950;2,20995;32,21;51,07;1,72;131,72;47,48;1,37;131,77;1081,4;1078,73;1061,75;1081,93;1067,4;1009,9;1083,16;1;9,57;163,74;156,85
47;497944,64;4144090,58;1;2255070;2,25507;16,04;34,32;3,15;95,77;35,25;1,89;95,77;1082,81;1080,23;1068,53;1083,7;1071,06;1029,52;1085,02;2;46,18;142,67;147,43
48;496912,41;4144021,77;1;3028560;3,02856;2,42;2,63;2,1;3,07;2,89;2,1;4,04;1073,93;1073,28;1072,52;1074,08;1072,68;1070,29;1074,97;8;313,26;120,09;1027,92
49;496853,92;4144227,35;1;2960260;2,96026;2,17;2,44;1,49;4,01;2,52;1,26;4,24;1069,1;1068,61;1068;1069,27;1068,32;1066,36;1070,43;7;282,03;123,38;954,05
50;497029,4;4143979,62;1;2875490;2,87549;2,34;2,17;1,17;2,85;2,18;1,15;3,03;1076,08;1075,31;1074,49;1076,08;1075,21;1073,08;1077,04;1;356,15;225,43;957,21
51;496907,25;4143838,55;1;1229860;1,22986;4,31;4,27;3,09;6,13;4,1;2,33;6,42;1074,7;1074,19;1072,8;1075,48;1074,16;1070,95;1077,1;8;301,03;67,88;1135,42
52;497325,31;4144010,59;1;1796520;1,79652;3,34;2,81;1,65;3,58;2,62;1,41;3,58;1078,28;1077,72;1076,8;1078,66;1077,96;1075,72;1080,2;1;8,72;480,98;687,7
53;497208,32;4143740,49;1;2052750;2,05275;2,78;2,63;2,16;2,89;2,48;2,06;2,89;1082,44;1081,9;1081,3;1083,54;1081,74;1079,83;1083,85;8;306,66;187,36;917,35
54;497230,68;4143730,16;1;2568340;2,56834;2,22;2,46;2,14;2,89;2,52;2,02;3,19;1083,53;1082,39;1081,79;1083,54;1082,27;1080,44;1084,23;8;320,67;185,06;897,37
55;497480,14;4143840,27;1;2568340;2,56834;3,62;3,43;2,2;4,87;3,37;1,48;4,87;1083,38;1083,13;1082,02;1084,13;1083,19;1080,42;1085,57;1;12,68;394,04;633,67
56;497604,01;4143776,61;1;1873060;1,87306;1,79;2,08;1,53;2,94;2,45;1,48;5,12;1086,27;1085,73;1084,69;1086,7;1085,86;1083,63;1088,44;8;301,09;421,48;523,06
57;497543,79;4143733,6;1;2224870;2,22487;3,29;2,83;1,78;3,57;2,44;1,17;3,57;1086,7;1086,13;1085,01;1087,08;1086,13;1083,85;1088,3;3;99,38;348,55;592,77
58;497363,15;4143478,99;1;1161460;1,16146;2,76;2,98;2,31;5,09;3,16;1,72;5,09;1088,18;1087,71;1086,51;1088,76;1088,04;1085,32;1090,52;7;264,8;60,25;751,9
59;497442,29;4143456,62;1;1914390;1,91439;3,24;2,88;1,95;3,59;2,71;1,05;3,59;1090,36;1089,98;1088,83;1090,97;1089,99;1087,51;1092,16;7;285,11;141,55;671,95
60;497636,7;4143509,95;1;2875640;2,87564;2,27;2,27;1,03;3,34;2,17;0,97;3,52;1092,7;1092,38;1091,91;1093,13;1092,17;1090,36;1093,8;2;26,02;330,28;482,48
61;497652,18;4143494,47;1;2895610;2,89561;3,03;2,56;1,13;3,42;2,11;0,23;3,79;1093,13;1092,66;1091,93;1093,32;1092,61;1090,75;1094,28;1;345,45;312,95;465,09
62;497887,87;4145244,96;1;1076240;1,07624;64,26;62,36;0,53;148,32;62,15;0,38;158,13;1058,09;1053,65;1018,16;1062,7;1040,79;974,22;1062,97;6;236,54;165,15;298,16
63;498020,34;4145109,05;1;2354070;2,35407;45,77;47,17;2,42;135,01;53,54;1,79;150,7;1064,32;1059,47;1029,25;1064,97;1045,62;984,14;1066,35;6;218,13;246,25;349,41
64;498051,31;4145084,97;1;2576500;2,5765;31,63;35,62;2,81;108,67;45,94;1,47;141,32;1065,06;1061,99;1046,59;1065,97;1049,54;987,33;1067,2;6;233,61;243,76;365,64
65;498066,79;4145059,16;1;1296040;1,29604;38,71;47,91;2,36;127,6;54,83;1,27;144,59;1063,55;1060,43;1038,42;1066,92;1047,61;986;1067,93;6;227,58;230,81;370,05
66;498197,54;4144845,83;1;2136090;2,13609;43,66;39,66;1,4;90,27;40,49;1,08;110,78;1071,3;1067,76;1052,58;1072,11;1059,29;1013,45;1072,99;6;243,72;246,94;411,12
67;498214,74;4144814,87;1;1847790;1,84779;51,19;37,38;0,39;75,75;34,97;0,39;93,7;1070,68;1067,97;1050,64;1072,93;1061,44;1026,12;1073,54;6;240,53;257,19;407,38
68;498221,63;4144795,94;1;1370280;1,37028;55,09;41,76;0,39;75,75;34;0,39;86;1070,27;1067,35;1049,34;1073,43;1061,7;1027,67;1073,54;6;247,15;261,97;403,37
69;498230,23;4144785,62;1;7031140;7,03114;27,87;34,89;0,39;72,16;31,47;0,39;75,75;1072,99;1069,25;1053,16;1073,54;1062,99;1031,84;1073,79;6;246,96;270,03;405,85
70;498230,23;4144761,53;1;1264820;1,26482;67,56;41,73;1,57;74,47;35,61;0,39;75,75;1069,24;1066,35;1047,93;1073,54;1061,18;1031,02;1074,55;7;255,21;270,35;395,03
71;498238,83;4144732,29;1;1122030;1,12203;56,78;42,7;0,84;74,47;35,28;0,84;76,92;1069,86;1066,23;1045,87;1073,79;1061,36;1032,8;1074,85;7;250,97;282,09;391,55
72;498209,58;4144513,8;1;612368;0,612368;46,7;43,29;19,84;103,2;47,66;14,48;116,61;1021,39;1021,68;1012,55;1034,56;1028,44;1004,47;1077,64;7;274,08;318,08;326,1
73;498417,75;4144163,7;1;335630;0,33563;2,4;2,46;2,08;2,91;2,5;1,67;3,28;1084,09;1084;1083,34;1084,74;1083,83;1081,5;1085,8;2;27,3;322,81;327,9
74;498317,97;4143902,2;1;551619;0,551619;18,27;22,92;0,33;62,02;26,49;0,33;119,23;1087,46;1086,4;1074,58;1090,03;1080,82;1035,6;1090,93;6;233,6;65,3;188,31
75;497932,6;4143888,44;1;2670770;2,67077;2,1;21,41;0,82;75,71;29,52;0,82;103,53;1087,35;1085,39;1075,58;1088,01;1077,78;1038,15;1089,09;3;95,75;187,47;178,66
76;497934,32;4143422,21;1;565430;0,56543;58,32;53,08;28,87;67,58;45,68;1,37;67,58;1079,83;1081,06;1064,82;1094,82;1079,33;1034,89;1098,49;3;74,42;48,68;179,71
77;498680,97;4144235,96;1;3496890;3,49689;3,57;3,38;2,55;3,89;3,17;1,8;4,11;1083,19;1082,43;1081,65;1083,34;1082,04;1080;1084,46;1;340,46;265,88;600,79
78;497573,04;4143324,15;1;2529840;2,52984;2,79;2,5;1,06;3,9;2,47;0,69;4,51;1094,98;1094,74;1094,13;1095,48;1094,57;1092,16;1096,5;8;315,27;312,63;546,61
79;496296,52;4143289,74;1;4988890;4,98889;2,27;2,33;1,49;3,15;2,12;1,28;3,15;1078,1;1076,95;1076,15;1078,1;1076,87;1075,19;1079,06;7;253,91;409,04;1821
80;496337,8;4143282,86;1;3907520;3,90752;1,96;2,05;1,49;2,76;2,19;1,49;3,31;1078,37;1077,82;1077,11;1079,06;1077,63;1075,91;1079,58;6;246,75;411,85;1780,24
81;499991,89;4137812,59;1;6434660;6,43466;18,54;16,24;3,35;23,88;19,51;0,82;46,75;1262,5;1262,05;1256,56;1265,94;1256,35;1243,96;1265,94;7;276,75;266,59;774,46
82;493927,28;4148361,07;2;44310,6;0,0443106;98,75;73,53;1,34;146,25;66,72;1,34;146,25;896,4;897,37;884,28;915,81;901,63;881,47;926,32;7;267,75;10;585,47
83;493883,58;4148311,12;2;1051470;1,05147;74,18;55,67;9,53;97,11;49,97;3,1;103,13;911,5;911,47;892,59;928,39;911,09;883,47;931,73;3;99,05;12;651,56
84;493878,9;4148308;2;1051470;1,05147;66,84;52,62;3,1;97,11;47,95;2,9;103,13;917,1;913,92;894,2;928,83;912,06;884,28;934,21;3;99,05;15;657,1
85;493878,9;4148042,68;2;3992340;3,99234;27,62;44,18;16,42;97,06;52,04;12,35;122,04;985,1;979,6;968,1;989,67;969,02;925,79;990,98;7;263,45;45;854,31
86;493886,7;4148033,31;2;3969320;3,96932;34,06;42,7;15,76;72,43;48,39;7,12;122,04;987,54;981,07;968,1;990,19;971,92;927,62;991,32;7;254,26;43;857,31
87;494592,15;4148044,24;2;1925370;1,92537;54,82;47,22;19,05;70,51;47,31;7,8;92,04;899,18;901,21;881,13;913,91;895,23;847,21;932,71;2;40,09;54;442,83
88;496143,52;4146753,52;2;3316620;3,31662;29,61;37,43;1,86;75,08;40,6;1,58;100,9;1023,32;1019,91;1001;1025,27;1011,35;971,9;1026,33;2;26,54;119;417,57
89;496870,81;4147268,56;2;1280230;1,28023;100,55;87,91;63,3;104,39;78,57;31,01;105,9;962,69;968,02;939,98;995,13;969,19;916,74;1023,86;6;232,49;41;423,91
90;496533,7;4145920,09;2;1229490;1,22949;2,79;2,64;0,99;3,57;2,55;0,81;3,57;1040,04;1039,65;1038,83;1040,63;1039,99;1037,98;1041,75;7;275,18;431;602,52
91;496227,8;4146019,98;2;4798010;4,79801;1,4;1,84;1,32;2,73;2,06;1,32;3,18;1036,58;1036;1035,46;1036,67;1035,63;1034,16;1037,26;8;293,46;600;814,25
92;496165,37;4146057,43;2;3898140;3,89814;2,68;2,44;2,01;2,71;2,25;1,42;2,85;1034,57;1034,5;1033,77;1035,53;1034,43;1032,78;1036,67;8;311,23;635;842,14
93;495828,25;4146525,65;2;2852120;2,85212;2,94;2,17;0,78;4,37;2,06;0,15;4,53;1024,51;1024,27;1023,71;1024,69;1024,47;1022,86;1025,94;1;352,61;201;796,29
94;495631,6;4146563,11;2;4361680;4,36168;2,12;2,13;1,41;2,9;1,87;0,22;2,92;1022,32;1022,03;1021,59;1022,47;1021,93;1020,75;1023,37;8;298;288;911,95
