Id;Coor_X ;Coor_Y;Area;Necrop;Muni;Grid10;Grid50;Cad_Ref;Cad_Pol;Cad_Par;Ort_Cham;Ort_Cov;Corridor;Typo2019;Typo1959;Cham_Len59;Cham_Wid59;Cham_Hei59;Surface59;Volume59;Corr_Len59;Corr_Wid59;Cham_Len19;Cham_Wid19;Cham_Hei19;Surface19;Volume19;Corr_Len19;Corr_Wid19;Viewshed_M;Viewshed_Km;Slope;Slope_Av30;Slope_Min30;Slope_Max30;Slope_Av50;Slope_Min50;Slope_Max50;Height;Height_Av30;Height_Min30;Height_Max30;Height_Av50;Height_Min50;Height_Max50;Ori_Corr;Ori_Corr2;Ori_Terr;Ori_Terr2;Dis_Water;Dis_Gor;Dis_Fardes;Dis_Baul;Topo_Terr;Riverside;Use1870;Use1956;Conserv;Geo;Litho;Gull_Ero;Aeol_Ero
82;495798;4146680;9;3;3;99321;993;18091A00300014;3;14;3;0;0;;5;2,1;1,6;1,1;3,36;3,69;;;;;;;;;;3665810;3,66581;2,62;1,91;0,72;2,71;1,93;0,19;6,75;1022,59;1022,48;1021,97;1022,94;1022,42;1021,6;1023,3;;;8;313;86,46;710,61;7444,76;9525,96;1;2;4;5;3;2;2;0;0
83;495835;4146845;9;3;2;99321;993;18088A00800006;8;6;7;0;0;2;3;2,1;1,5;1,15;3,15;3,62;;;1,6;1,5;1,1;2,4;2,64;;;3590800;3,5908;10,95;24,6;2,79;66,09;31,86;1,11;111,18;1020,46;1018,33;1009,49;1020,8;1014,99;989,92;1021,26;4;130;7;290,65;34,01;572,19;7401,22;9520,72;1;2;4;1;2;2;2;0;0
84;495836;4146859;9;3;2;99321;993;18088A00800006;8;6;10;2;1;1;1;3,2;2,4;1,95;7,68;14,97;;;3,14;;1,36;;;1;0,75;3650430;3,65043;21,65;34,23;2,84;74,12;42,83;2,17;111,18;1020,03;1016,48;1003,25;1020,65;1012,52;987,37;1021,19;3;74;1;342,98;41,07;562,67;7395,78;9522,51;1;2;4;1;1;2;2;0;0
85;496129;4146894;9;3;2;99321;993;18088A00800007;8;7;8;1;0;1;1;3,5;2,2;1,6;7,7;12,32;;;3,33;2,3;1,3;7,65;9,95;;;1599520;1,59952;18,4;31,89;11,1;86,46;39,06;3,75;104,04;965,18;962,56;950,86;969,6;961,19;937,78;974,77;3;76;1;6,96;65,36;322,77;7614,22;9242,77;2;2;4;1;1;2;2;0;0
86;496246;4146816;9;3;2;99321;993;18088A00800007;8;7;5;0;1;1;5;1,85;1,5;1,75;2,77;4,85;;;2,1;1,25;1,68;2,62;4,41;;;1682470;1,68247;18,09;30,28;17,59;42,32;38,22;7,32;69,82;969,51;967,39;960,86;975,93;966,9;950,23;985,07;3;79;1;7,3;61,16;298,61;7751,4;9112,23;2;2;4;1;2;2;2;0;0
88;495951;4146212;10;4;3;99321;993;18091A00300017;3;17;5;0;0;;;2,75;;1,6;;;;;;;;;;;;4087820;4,08782;1,97;1,97;1,63;2,41;1,91;1,07;2,43;1030,4;1029,88;1029,27;1030,4;1029,85;1028,98;1030,71;;;8;304,6;507,55;953,46;7808,1;9301,39;1;2;4;5;3;3;2;0;0
89;496038;4146225;10;4;3;99321;993;18091A00300017;3;17;8;0;1;1;5;1,45;1,55;1,6;2,24;3,59;;;1,2;1,5;1;1,8;1,8;;;4482240;4,48224;1,86;1,78;1,26;2,26;1,76;1,26;2,26;1030,76;1030,58;1029,95;1031,45;1030,52;1029,49;1031,53;4;126;7;281,03;490,92;877,93;7876,48;9216,94;1;2;4;5;3;3;2;0;0
90;495994;4146193;10;4;3;99321;993;18091A00300017;3;17;;0;0;;;1,7;;0,7;;;;;;;;;;;;3861280;3,86128;1,73;1,75;1,45;1,94;1,82;1,45;2,18;1030,77;1030,47;1029,95;1031,03;1030,49;1029,59;1031,53;;;8;334,82;520,36;931,3;7854,78;9256,24;1;2;4;5;3;3;2;0;0
91;496119;4146072;10;4;3;99321;993;18091A00400001;4;1;;0;0;;5;1,65;1,9;1,55;3,13;4,85;;;;;;;;;;4642450;4,64245;2,08;2,14;1,77;2,52;2;1,21;2,68;1034,36;1033,57;1032,91;1034,37;1033,68;1032,5;1035,32;;;5;193,7;655,98;873,13;8024,1;9116,9;1;2;4;5;3;3;2;0;0
92;496141;4146097;10;4;3;99321;993;18091A00400001;4;1;;0;0;;2;1,55;1,15;1,35;1,78;2,4;;;;;;;;;;4303370;4,30337;1,76;2,01;1,76;2,37;2,11;1,19;2,83;1034,11;1033,57;1032,97;1034,37;1033,51;1032,5;1035,08;;;6;240,21;638,61;841,34;8030,19;9098,14;1;2;4;5;3;3;2;0;0
