tol_cents,n_pairs_all,n_pairs_for_hits,hits_real_all,hits_real_filt,decade_mean,decade_p50,decade_p95,decade_p99,decade_max,perm_mean,perm_p50,perm_p95,perm_p99,perm_max,perm_gap_z,p_decade_gte_real_filt,p_perm_gte_real_filt
5.0,105,105,4,4,6.14,6.0,11.0,11.0,11,4.0,4.0,4.0,4.0,4,0.0,0.86,1.0
8.0,105,105,8,8,9.28,9.0,14.099999999999994,15.0,15,8.0,8.0,8.0,8.0,8,0.0,0.76,1.0
10.0,105,105,8,8,11.72,11.5,16.0,19.019999999999996,20,8.0,8.0,8.0,8.0,8,0.0,0.96,1.0
15.0,105,105,12,12,18.12,18.0,26.0,26.509999999999998,27,12.0,12.0,12.0,12.0,12,0.0,0.96,1.0
20.0,105,105,20,20,23.94,24.0,32.55,34.51,35,20.0,20.0,20.0,20.0,20,0.0,0.78,1.0
30.0,105,105,31,31,36.0,36.0,44.0,45.0,45,31.0,31.0,31.0,31.0,31,0.0,0.88,1.0
50.0,105,105,61,61,59.6,59.0,68.64999999999999,72.02,73,61.0,61.0,61.0,61.0,61,0.0,0.34,1.0
