# Table of all VLT and Keck da/a values.
#
# This file gives the values of da/a = (delta alpha)/alpha
# from the Keck and VLT absorbers used in the many multiplet
# analysis for King et al. (2012), "Spatial variation
# in the fine-structure constant - new results from
# VLT/UVES", MNRAS, 422, 3370, 2012, arXiv:1202.4758.
#
# The Keck values are from Murphy et al. (2004, Lecture Notes Phys.,
# 648, 131, astro-ph/0310318). See also Murphy et al. (2009, MmSAIt,
# 80, 864, arXiv:0910.2699).
#
# Description of columns:
# - All quasars are identified by their J2000 name.
# - z_em gives the emission redshifts of the quasars.
# - z_abs gives the absorption redshifts of the absorbers.
# - da/a gives the value of (delta alpha)/alpha.
# - err gives the statistical error on da/a derived only from
# photon counting statistics (i.e. from the covariance matrix).
# - Both da/a and err are given in units of 10^(-5).
# - Sample gives A, B1, B2, or C as given in Murphy+2009
# for the Keck sample, and D for the VLT sample
# - Source specifies whether the da/a values is from the Keck
# or VLT samples.
# - sig_rand_flag determines which systems an extra error
# applies to (designed to account for excess dispersion in the
# data about different models).
# - Outlier indicates whether the system was identified
# as an outlier and removed from consideration (0=no, 1=yes).
#
# sigma_rand for weighted-mean model:
#   VLT (flag=3): 0.905
#   Keck LC (flag=1): 0.000
#   Keck HC (flag=2): 1.743
# Total error: sqrt(err^2 + sigma_rand^2)
#
# N J2000_name z_em z_abs da/a err Sample Source sig_rand_flag Outlier
58 J111113-080402 3.92 3.6061 -0.420 4.402 B2 Keck 1 0
59 J121303+171423 2.54 0.69404 -1.920 3.916 B2 Keck 1 0
60 J121303+171423 2.54 0.84142 0.579 0.804 B2 Keck 1 0
61 J121303+171423 2.54 1.8918 -0.445 0.903 B2 Keck 2 0
62 J122607+173649 2.92 2.4653 -1.306 1.656 B2 Keck 2 0
63 J122607+173649 2.92 2.5577 -0.253 3.503 B2 Keck 1 0
64 J235057-005209 3.01 2.4264 -4.879 3.485 B2 Keck 1 0
65 J235057-005209 3.01 2.6147 -0.697 3.801 B2 Keck 2 0
66 J000322-260316 4.11 1.4342 -1.253 1.167 C Keck 1 0
67 J000322-260316 4.11 3.3897 -7.843 3.548 C Keck 1 0
68 J000520+052410 1.90 0.59137 -3.105 2.433 C Keck 1 0
69 J000520+052410 1.90 0.85118 0.475 1.022 C Keck 1 0
70 J005757-264314 3.66 1.2679 2.057 2.521 C Keck 1 0
71 J005757-264314 3.66 1.3192 -2.587 2.410 C Keck 1 0
72 J005757-264314 3.66 1.5337 -1.345 1.156 C Keck 1 0
73 J010054+021136 1.96 0.61256 0.372 1.191 C Keck 1 0
74 J010054+021136 1.96 0.72508 -2.634 3.523 C Keck 1 0
75 J012227-042127 1.95 0.65741 7.123 4.608 C Keck 1 0
76 J015734+744243 2.33 0.7455 -2.056 0.745 C Keck 1 0
77 J020944+051714 4.19 3.6663 -0.599 3.503 C Keck 1 0
78 J021857+081727 2.99 1.7680 0.046 1.235 C Keck 1 0
79 J024008-230915 2.23 1.3650 -0.222 0.523 C Keck 1 0
80 J024401-013402 4.04 2.0994 -0.813 2.621 C Keck 1 0
81 J030450-221157 1.41 1.0092 -0.193 1.009 C Keck 1 0
82 J045142-132032 3.09 1.2667 -1.268 1.462 C Keck 1 0
83 J053007-250329 2.77 0.94398 0.758 2.337 C Keck 1 0
84 J053007-250329 2.77 2.1406 -0.865 0.867 C Keck 2 0
85 J053007-250329 2.77 2.8114 0.919 0.863 C Keck 2 0
86 J064204+675835 3.17 1.2938 -1.393 0.624 C Keck 1 0
87 J074521+473436 3.21 1.6112 -1.298 1.727 C Keck 1 0
88 J074521+473436 3.21 3.0173 0.822 2.196 C Keck 1 0
89 J080117+521034 3.24 2.6021 -1.629 2.272 C Keck 1 0
90 J080117+521034 3.24 2.8677 -1.878 3.977 C Keck 1 0
91 J084424+124548 2.55 1.0981 -3.570 1.220 C Keck 1 0
92 J084424+124548 2.55 1.1314 0.561 0.789 C Keck 1 0
93 J084424+124548 2.55 1.2189 -0.521 0.542 C Keck 1 0
94 J084424+124548 2.55 2.3742 1.411 1.164 C Keck 2 0
95 J093337+284532 3.42 3.2351 0.855 1.824 C Keck 1 0
96 J094253-110425 3.05 1.0598 -0.751 1.643 C Keck 1 0
97 J095852+120245 3.31 2.3103 -2.245 6.439 C Keck 1 0
98 J101155+294141 2.62 1.1117 -5.459 2.508 C Keck 1 0
99 J101447+430030 3.10 1.4162 -0.904 0.560 C Keck 1 0
100 J101447+430030 3.10 2.9587 1.861 1.948 C Keck 2 0
101 J105756+455553 4.12 3.3172 2.747 6.067 C Keck 1 0
102 J111038+483115 2.97 0.80757 1.215 1.221 C Keck 1 0
103 J111038+483115 2.97 0.86182 -2.024 1.636 C Keck 1 0
104 J111038+483115 2.97 1.0158 -2.098 0.937 C Keck 1 0
105 J113508+222715 2.88 2.1053 4.361 3.976 C Keck 1 0
106 J120523-074232 4.70 1.7549 -1.465 2.178 C Keck 1 0
107 J120858+454035 1.16 0.92741 -0.280 0.777 C Keck 1 0
108 J122607+173649 2.94 2.4653 1.654 1.908 C Keck 1 0
109 J122607+173649 2.94 2.5577 0.419 1.198 C Keck 1 0
110 J122824+312837 2.22 1.7954 0.648 1.415 C Keck 1 0
111 J124714+312641 2.95 0.85048 -6.900 7.023 C Keck 1 0
112 J124714+312641 2.95 2.7504 2.485 4.788 C Keck 1 0
113 J131011+460124 2.13 0.22909 2.549 5.395 C Keck 1 0
114 J134002+110630 2.97 2.7955 4.109 9.498 C Keck 1 0
115 J142656+602550 3.20 2.7698 -0.688 1.866 C Keck 1 0
116 J142656+602550 3.20 2.8268 0.319 0.929 C Keck 1 0
117 J143912+295448 3.00 1.2259 0.280 1.433 C Keck 1 0
118 J144453+291905 2.76 2.4389 -0.939 1.712 C Keck 1 0
119 J155152+191104 2.83 1.1425 -0.092 0.663 C Keck 1 0
120 J155152+191104 2.83 1.3422 -0.853 1.169 C Keck 1 0
121 J155152+191104 2.83 1.8024 -2.001 1.267 C Keck 1 0
122 J162645+642655 2.32 0.58596 -1.977 4.530 C Keck 1 0
123 J162645+642655 2.32 2.1102 -0.164 1.168 C Keck 1 0
124 J163429+703132 1.34 0.9901 -2.202 1.293 C Keck 1 0
125 J185230+401906 2.12 1.9900 -1.562 0.899 C Keck 2 0
126 J194454+770552 3.02 1.7385 -0.194 1.861 C Keck 1 0
