tol_cents,n_pairs_all,n_pairs_for_hits,hits_real_all,hits_real_filt,decade_mean,decade_p50,decade_p95,decade_p99,decade_max,perm_mean,perm_p50,perm_p95,perm_p99,perm_max,p_decade_gte_real_filt,p_perm_gte_real_filt
5.0,231,231,9,9,13.565,13.0,21.0,24.00999999999999,34,9.0,9.0,9.0,9.0,9,0.93,1.0
8.0,231,231,16,16,21.605,21.0,29.049999999999983,34.01999999999998,46,16.0,16.0,16.0,16.0,16,0.915,1.0
10.0,231,231,19,19,27.05,27.0,35.0,41.01999999999998,49,19.0,19.0,19.0,19.0,19,0.985,1.0
15.0,231,231,29,29,40.665,40.0,50.0,55.00999999999999,58,29.0,29.0,29.0,29.0,29,0.995,1.0
20.0,231,231,49,49,54.095,53.0,65.0,67.03999999999996,71,49.0,49.0,49.0,49.0,49,0.81,1.0
30.0,231,231,74,74,80.895,81.0,93.0,97.00999999999999,100,74.0,74.0,74.0,74.0,74,0.835,1.0
50.0,231,231,134,134,134.19,134.0,148.0,151.01,155,134.0,134.0,134.0,134.0,134,0.525,1.0
