a_name,b_name,a_symbol,b_symbol,ratio,log10_abs,folded_to_octave,diatonic_note,diatonic_target,cents_error,within_tol_cents_20,integer_ratio,integer_pct_error,on_watchlist,watchlist_reason
PMNS_sin2_12,alpha_s_MZ,sin²θ₁₂_ν,α_s(M_Z),2.569975e+00,0.40993,1.284987,major 3rd (5:4),1.250000,47.7912,False,18/7,-0.0565,False,
PMNS_sin2_23,alpha_s_MZ,sin²θ₂₃_ν,α_s(M_Z),4.851569e+00,0.68588,1.212892,major 3rd (5:4),1.250000,-52.1720,False,97/20,0.0324,False,
alpha_s_MZ,PMNS_sin2_13,α_s(M_Z),sin²θ₁₃_ν,5.351793e+00,0.72850,1.337948,perfect 4th (4:3),1.333333,5.9818,True,91/17,-0.0214,False,
mp_me,sin2_thetaW,m_p/m_e,sin²θ_W,7.941493e+03,3.89990,1.938841,octave (2:1),2.000000,-53.7665,False,15883/2,-0.0001,False,
Omega_matter,sin2_thetaW,Ω_m,sin²θ_W,1.363695e+00,0.13472,1.363695,perfect 4th (4:3),1.333333,38.9806,False,15/11,0.0043,False,
Omega_Lambda,sin2_thetaW,Ω_Λ,sin²θ_W,2.961377e+00,0.47149,1.480689,perfect 5th (3:2),1.500000,-22.4331,False,59/20,0.3857,False,
sin2_thetaW,Omega_baryon,sin²θ_W,Ω_b,4.689858e+00,0.67116,1.172465,major 2nd (9:8),1.125000,71.5431,False,75/16,0.0503,False,
n_s,sin2_thetaW,n_s,sin²θ_W,4.173262e+00,0.62048,1.043316,unison (1:1),1.000000,73.4108,False,71/17,-0.0768,False,
sin2_thetaW,electron_g-2,sin²θ_W,(g-2)/2,1.993787e+02,2.29968,1.557646,perfect 5th (3:2),1.500000,65.2864,False,1595/8,0.0019,False,
mn_mp,sin2_thetaW,m_n/m_p,sin²θ_W,4.331034e+00,0.63659,1.082759,major 2nd (9:8),1.125000,-66.2561,False,13/3,-0.0531,False,
m_mu_me,sin2_thetaW,m_μ/m_e,sin²θ_W,8.942878e+02,2.95148,1.746656,major 6th (5:3),1.666667,81.1558,False,6260/7,0.0002,False,
m_tau_me,sin2_thetaW,m_τ/m_e,sin²θ_W,1.503893e+04,4.17722,1.835806,major 7th (15:8),1.875000,-36.5721,False,195506/13,0.0000,False,
m_tau_mmu,sin2_thetaW,m_τ/m_μ,sin²θ_W,7.273474e+01,1.86174,1.136480,major 2nd (9:8),1.125000,17.5773,True,1091/15,0.0019,False,
sin2_thetaW,CMB_dT_T,sin²θ_W,ΔT/T,4.624200e+03,3.66504,1.128955,major 2nd (9:8),1.125000,6.0757,True,23121/5,0.0000,False,
sin2_thetaW,epsilon_K_CP,sin²θ_W,ε_K,1.037747e+02,2.01609,1.621479,major 6th (5:3),1.666667,-47.5858,False,934/9,-0.0030,False,
sin2_thetaW,CKM_lambda,sin²θ_W,λ,1.027600e+00,0.01182,1.027600,unison (1:1),1.000000,47.1346,False,21/20,-2.1333,False,
CKM_A,sin2_thetaW,A,sin²θ_W,3.602785e+00,0.55664,1.801393,major 7th (15:8),1.875000,-69.3335,False,18/5,0.0774,False,
sin2_thetaW,CKM_rho,sin²θ_W,ρ,1.445062e+00,0.15989,1.445062,perfect 5th (3:2),1.500000,-64.5967,False,13/9,0.0428,False,
CKM_eta,sin2_thetaW,η,sin²θ_W,1.513775e+00,0.18006,1.513775,perfect 5th (3:2),1.500000,15.8263,True,29/19,-0.8216,False,
PMNS_sin2_12,sin2_thetaW,sin²θ₁₂_ν,sin²θ_W,1.310497e+00,0.11744,1.310497,perfect 4th (4:3),1.333333,-29.9082,False,21/16,-0.1526,False,
PMNS_sin2_23,sin2_thetaW,sin²θ₂₃_ν,sin²θ_W,2.473941e+00,0.39339,1.236971,major 3rd (5:4),1.250000,-18.1401,True,47/19,0.0104,False,
sin2_thetaW,PMNS_sin2_13,sin²θ_W,sin²θ₁₃_ν,1.049523e+01,1.02099,1.311904,perfect 4th (4:3),1.333333,-28.0501,False,21/2,-0.0454,False,
mp_me,Omega_matter,m_p/m_e,Ω_m,5.823510e+03,3.76518,1.421755,perfect 5th (3:2),1.500000,-92.7471,False,11647/2,0.0002,False,
mp_me,Omega_Lambda,m_p/m_e,Ω_Λ,2.681689e+03,3.42841,1.309419,perfect 4th (4:3),1.333333,-31.3333,False,42907/16,0.0001,False,
mp_me,Omega_baryon,m_p/m_e,Ω_b,3.724448e+04,4.57106,1.136611,major 2nd (9:8),1.125000,17.7766,True,707645/19,0.0000,False,
mp_me,n_s,m_p/m_e,n_s,1.902946e+03,3.27943,1.858346,major 7th (15:8),1.875000,-15.4460,True,36156/19,-0.0001,False,
mp_me,electron_g-2,m_p/m_e,(g-2)/2,1.583365e+06,6.19958,1.510015,perfect 5th (3:2),1.500000,11.5199,True,1583365,-0.0000,False,
mp_me,mn_mp,m_p/m_e,m_n/m_p,1.833625e+03,3.26331,1.790650,major 7th (15:8),1.875000,-79.6891,False,14669/8,0.0000,False,
mp_me,m_mu_me,m_p/m_e,m_μ/m_e,8.880243e+00,0.94842,1.110030,major 2nd (9:8),1.125000,-23.1909,False,151/17,-0.0238,True,Proton vs muon mass (factor ~ 8.9)
m_tau_me,mp_me,m_τ/m_e,m_p/m_e,1.893715e+00,0.27731,1.893715,major 7th (15:8),1.875000,17.1944,True,36/19,-0.0539,True,Tau vs proton mass (~ 1.9)
mp_me,m_tau_mmu,m_p/m_e,m_τ/m_μ,1.091843e+02,2.03816,1.706005,major 6th (5:3),1.666667,40.3875,False,1201/11,0.0023,False,
