a_name,b_name,a_symbol,b_symbol,ratio,log10_abs,folded_to_octave,diatonic_note,diatonic_target,cents_error,within_tol_cents_20,integer_ratio,integer_pct_error,on_watchlist,watchlist_reason
mn_mp,CKM_lambda,m_n/m_p,λ,4.450571e+00,0.64842,1.112643,major 2nd (9:8),1.125000,-19.1216,True,89/20,0.0128,False,
mn_mp,CKM_A,m_n/m_p,A,1.202135e+00,0.07995,1.202135,major 3rd (5:4),1.250000,-67.5951,False,6/5,0.1779,False,
mn_mp,CKM_rho,m_n/m_p,ρ,6.258615e+00,0.79648,1.564654,perfect 5th (3:2),1.500000,73.0572,False,119/19,-0.0725,False,
mn_mp,CKM_eta,m_n/m_p,η,2.861081e+00,0.45653,1.430541,perfect 5th (3:2),1.500000,-82.0825,False,20/7,0.1378,False,
mn_mp,PMNS_sin2_12,m_n/m_p,sin²θ₁₂_ν,3.304879e+00,0.51916,1.652440,major 6th (5:3),1.666667,-14.8416,True,43/13,-0.0850,False,
mn_mp,PMNS_sin2_23,m_n/m_p,sin²θ₂₃_ν,1.750662e+00,0.24320,1.750662,major 6th (5:3),1.666667,85.1215,False,7/4,0.0378,False,
mn_mp,PMNS_sin2_13,m_n/m_p,sin²θ₁₃_ν,4.545522e+01,1.65758,1.420476,perfect 5th (3:2),1.500000,-94.3062,False,500/11,0.0015,False,
m_tau_me,m_mu_me,m_τ/m_e,m_μ/m_e,1.681665e+01,1.22574,1.051041,unison (1:1),1.000000,86.1822,False,185/11,-0.0091,False,
m_mu_me,m_tau_mmu,m_μ/m_e,m_τ/m_μ,1.229519e+01,1.08974,1.536899,perfect 5th (3:2),1.500000,42.0722,False,209/17,0.0088,True,Lepton mass ratio chain
m_mu_me,CMB_dT_T,m_μ/m_e,ΔT/T,4.135366e+06,6.61651,1.971896,octave (2:1),2.000000,-24.4998,False,12406097/3,-0.0000,False,
m_mu_me,epsilon_K_CP,m_μ/m_e,ε_K,9.280444e+04,4.96757,1.416083,perfect 5th (3:2),1.500000,-99.6676,False,1484871/16,-0.0000,False,
m_mu_me,CKM_lambda,m_μ/m_e,λ,9.189701e+02,2.96330,1.794864,major 7th (15:8),1.875000,-75.6197,False,18379/20,0.0022,False,
m_mu_me,CKM_A,m_μ/m_e,A,2.482212e+02,2.39484,1.939228,octave (2:1),2.000000,-53.4208,False,2234/9,-0.0004,False,
m_mu_me,CKM_rho,m_μ/m_e,ρ,1.292302e+03,3.11136,1.262013,major 3rd (5:4),1.250000,16.5590,True,12923/10,0.0001,False,
m_mu_me,CKM_eta,m_μ/m_e,η,5.907665e+02,2.77142,1.153841,major 2nd (9:8),1.125000,43.8231,False,10043/17,0.0003,False,
m_mu_me,PMNS_sin2_12,m_μ/m_e,sin²θ₁₂_ν,6.824036e+02,2.83404,1.332819,perfect 4th (4:3),1.333333,-0.6673,True,3412/5,0.0005,False,
m_mu_me,PMNS_sin2_23,m_μ/m_e,sin²θ₂₃_ν,3.614830e+02,2.55809,1.412043,perfect 4th (4:3),1.333333,99.2958,False,6868/19,0.0026,False,
m_mu_me,PMNS_sin2_13,m_μ/m_e,sin²θ₁₃_ν,9.385760e+03,3.97247,1.145723,major 2nd (9:8),1.125000,31.5993,False,159558/17,-0.0001,False,
m_tau_me,m_tau_mmu,m_τ/m_e,m_τ/m_μ,2.067640e+02,2.31547,1.615344,major 6th (5:3),1.666667,-54.1494,False,3515/17,-0.0003,False,
m_tau_me,CMB_dT_T,m_τ/m_e,ΔT/T,6.954300e+07,7.84225,1.036271,unison (1:1),1.000000,61.6824,False,69543000,0.0000,False,
m_tau_me,epsilon_K_CP,m_τ/m_e,ε_K,1.560660e+06,6.19331,1.488361,perfect 5th (3:2),1.500000,-13.4854,True,21849237/14,-0.0000,False,
m_tau_me,CKM_lambda,m_τ/m_e,λ,1.545400e+04,4.18904,1.886475,major 7th (15:8),1.875000,10.5625,True,15454,0.0000,False,
m_tau_me,CKM_A,m_τ/m_e,A,4.174250e+03,3.62058,1.019104,unison (1:1),1.000000,32.7614,False,16697/4,-0.0000,False,
m_tau_me,CKM_rho,m_τ/m_e,ρ,2.173219e+04,4.33710,1.326427,perfect 4th (4:3),1.333333,-8.9901,True,347715/16,0.0000,False,
m_tau_me,CKM_eta,m_τ/m_e,η,9.934714e+03,3.99716,1.212734,major 3rd (5:4),1.250000,-52.3984,False,69543/7,0.0000,False,
m_tau_me,PMNS_sin2_12,m_τ/m_e,sin²θ₁₂_ν,1.147574e+04,4.05978,1.400847,perfect 4th (4:3),1.333333,85.5149,False,218039/19,0.0000,False,
m_tau_me,PMNS_sin2_23,m_τ/m_e,sin²θ₂₃_ν,6.078934e+03,3.78383,1.484115,perfect 5th (3:2),1.500000,-18.4320,True,91184/15,0.0000,False,
m_tau_me,PMNS_sin2_13,m_τ/m_e,sin²θ₁₃_ν,1.578370e+05,5.19821,1.204201,major 3rd (5:4),1.250000,-64.6222,False,3156741/20,-0.0000,False,
m_tau_mmu,CMB_dT_T,m_τ/m_μ,ΔT/T,3.363400e+05,5.52678,1.283035,major 3rd (5:4),1.250000,45.1593,False,336340,0.0000,False,
m_tau_mmu,epsilon_K_CP,m_τ/m_μ,ε_K,7.548025e+03,3.87783,1.842780,major 7th (15:8),1.875000,-30.0085,False,150961/20,-0.0003,False,
m_tau_mmu,CKM_lambda,m_τ/m_μ,λ,7.474222e+01,1.87357,1.167847,major 2nd (9:8),1.125000,64.7119,False,1420/19,0.0072,False,
m_tau_mmu,CKM_A,m_τ/m_μ,A,2.018848e+01,1.30510,1.261780,major 3rd (5:4),1.250000,16.2384,True,323/16,0.0048,False,
m_tau_mmu,CKM_rho,m_τ/m_μ,ρ,1.051063e+02,2.02163,1.642285,major 6th (5:3),1.666667,-25.5131,False,1997/19,0.0009,False,
m_tau_mmu,CKM_eta,m_τ/m_μ,η,4.804857e+01,1.68168,1.501518,perfect 5th (3:2),1.500000,1.7510,True,961/20,-0.0030,False,
m_tau_mmu,PMNS_sin2_12,m_τ/m_μ,sin²θ₁₂_ν,5.550165e+01,1.74431,1.734427,major 6th (5:3),1.666667,68.9918,False,111/2,0.0030,False,
m_tau_mmu,PMNS_sin2_23,m_τ/m_μ,sin²θ₂₃_ν,2.940035e+01,1.46835,1.837522,major 7th (15:8),1.875000,-34.9550,False,147/5,0.0012,False,
m_tau_mmu,PMNS_sin2_13,m_τ/m_μ,sin²θ₁₃_ν,7.633681e+02,2.88273,1.490953,perfect 5th (3:2),1.500000,-10.4728,True,14504/19,-0.0000,False,
epsilon_K_CP,CMB_dT_T,ε_K,ΔT/T,4.456000e+01,1.64895,1.392500,perfect 4th (4:3),1.333333,75.1678,False,713/16,-0.0056,False,
CKM_lambda,CMB_dT_T,λ,ΔT/T,4.500000e+03,3.65321,1.098633,major 2nd (9:8),1.125000,-41.0589,False,4500,0.0000,False,
CKM_A,CMB_dT_T,A,ΔT/T,1.666000e+04,4.22167,1.016846,unison (1:1),1.000000,28.9209,False,16660,0.0000,False,
CKM_rho,CMB_dT_T,ρ,ΔT/T,3.200000e+03,3.50515,1.562500,perfect 5th (3:2),1.500000,70.6724,False,3200,0.0000,False,
CKM_eta,CMB_dT_T,η,ΔT/T,7.000000e+03,3.84510,1.708984,major 6th (5:3),1.666667,43.4083,False,7000,-0.0000,False,
PMNS_sin2_12,CMB_dT_T,sin²θ₁₂_ν,ΔT/T,6.060000e+03,3.78247,1.479492,perfect 5th (3:2),1.500000,-23.8325,False,6060,-0.0000,False,
PMNS_sin2_23,CMB_dT_T,sin²θ₂₃_ν,ΔT/T,1.144000e+04,4.05843,1.396484,perfect 4th (4:3),1.333333,80.1143,False,11440,-0.0000,False,
PMNS_sin2_13,CMB_dT_T,sin²θ₁₃_ν,ΔT/T,4.406000e+02,2.64404,1.721094,major 6th (5:3),1.666667,55.6321,False,2203/5,0.0000,False,
CKM_lambda,epsilon_K_CP,λ,ε_K,1.009874e+02,2.00427,1.577929,perfect 5th (3:2),1.500000,87.6833,False,101,-0.0124,False,
CKM_A,epsilon_K_CP,A,ε_K,3.738779e+02,2.57273,1.460461,perfect 5th (3:2),1.500000,-46.2469,False,2991/8,0.0008,False,
CKM_rho,epsilon_K_CP,ρ,ε_K,7.181329e+01,1.85620,1.122083,major 2nd (9:8),1.125000,-4.4954,True,1149/16,0.0011,False,
CKM_eta,epsilon_K_CP,η,ε_K,1.570916e+02,2.19615,1.227278,major 3rd (5:4),1.250000,-31.7595,False,1728/11,0.0004,False,
PMNS_sin2_12,epsilon_K_CP,sin²θ₁₂_ν,ε_K,1.359964e+02,2.13353,1.062472,major 2nd (9:8),1.125000,-99.0003,False,136,-0.0026,False,
PMNS_sin2_23,epsilon_K_CP,sin²θ₂₃_ν,ε_K,2.567325e+02,2.40948,1.002861,unison (1:1),1.000000,4.9465,True,3851/15,-0.0003,False,
PMNS_sin2_13,epsilon_K_CP,sin²θ₁₃_ν,ε_K,9.887792e+00,0.99510,1.235974,major 3rd (5:4),1.250000,-19.5357,True,89/9,-0.0111,False,
CKM_A,CKM_lambda,A,λ,3.702222e+00,0.56846,1.851111,major 7th (15:8),1.875000,-22.1989,False,37/10,0.0601,False,
CKM_lambda,CKM_rho,λ,ρ,1.406250e+00,0.14806,1.406250,perfect 4th (4:3),1.333333,92.1787,False,24/17,-0.3906,False,
CKM_eta,CKM_lambda,η,λ,1.555556e+00,0.19189,1.555556,perfect 5th (3:2),1.500000,62.9609,False,14/9,-0.0000,False,
PMNS_sin2_12,CKM_lambda,sin²θ₁₂_ν,λ,1.346667e+00,0.12926,1.346667,perfect 4th (4:3),1.333333,17.2264,True,27/20,-0.2469,False,
PMNS_sin2_23,CKM_lambda,sin²θ₂₃_ν,λ,2.542222e+00,0.40521,1.271111,major 3rd (5:4),1.250000,28.9945,False,28/11,-0.1270,False,
CKM_lambda,PMNS_sin2_13,λ,sin²θ₁₃_ν,1.021335e+01,1.00917,1.276668,major 3rd (5:4),1.250000,36.5466,False,143/14,-0.0092,False,
CKM_A,CKM_rho,A,ρ,5.206250e+00,0.71653,1.301562,perfect 4th (4:3),1.333333,-41.7515,False,99/19,-0.0821,False,
CKM_A,CKM_eta,A,η,2.380000e+00,0.37658,1.190000,major 3rd (5:4),1.250000,-85.1598,False,31/13,-0.1935,False,
CKM_A,PMNS_sin2_12,A,sin²θ₁₂_ν,2.749175e+00,0.43920,1.374587,perfect 4th (4:3),1.333333,52.7534,False,11/4,-0.0300,False,
CKM_A,PMNS_sin2_23,A,sin²θ₂₃_ν,1.456294e+00,0.16325,1.456294,perfect 5th (3:2),1.500000,-51.1934,False,16/11,0.1202,False,
CKM_A,PMNS_sin2_13,A,sin²θ₁₃_ν,3.781207e+01,1.57763,1.181627,major 2nd (9:8),1.125000,85.0201,False,605/16,-0.0011,False,
CKM_eta,CKM_rho,η,ρ,2.187500e+00,0.33995,1.093750,major 2nd (9:8),1.125000,-48.7704,False,35/16,0.0000,False,
PMNS_sin2_12,CKM_rho,sin²θ₁₂_ν,ρ,1.893750e+00,0.27732,1.893750,major 7th (15:8),1.875000,17.2264,True,36/19,-0.0521,False,
PMNS_sin2_23,CKM_rho,sin²θ₂₃_ν,ρ,3.575000e+00,0.55328,1.787500,major 7th (15:8),1.875000,-82.7368,False,25/7,0.1000,False,
CKM_rho,PMNS_sin2_13,ρ,sin²θ₁₃_ν,7.262823e+00,0.86111,1.815706,major 7th (15:8),1.875000,-55.6321,False,138/19,-0.0046,False,
CKM_eta,PMNS_sin2_12,η,sin²θ₁₂_ν,1.155116e+00,0.06263,1.155116,major 2nd (9:8),1.125000,45.7346,False,15/13,0.1100,False,
PMNS_sin2_23,CKM_eta,sin²θ₂₃_ν,η,1.634286e+00,0.21333,1.634286,major 6th (5:3),1.666667,-33.9664,False,18/11,-0.1270,False,
CKM_eta,PMNS_sin2_13,η,sin²θ₁₃_ν,1.588743e+01,1.20105,1.985928,octave (2:1),2.000000,-12.2238,True,143/9,-0.0092,False,
PMNS_sin2_23,PMNS_sin2_12,sin²θ₂₃_ν,sin²θ₁₂_ν,1.887789e+00,0.27595,1.887789,major 7th (15:8),1.875000,11.7681,True,17/9,-0.0582,False,
PMNS_sin2_12,PMNS_sin2_13,sin²θ₁₂_ν,sin²θ₁₃_ν,1.375397e+01,1.13843,1.719246,major 6th (5:3),1.666667,53.7730,False,55/4,0.0289,False,
PMNS_sin2_23,PMNS_sin2_13,sin²θ₂₃_ν,sin²θ₁₃_ν,2.596459e+01,1.41438,1.622787,major 6th (5:3),1.666667,-46.1902,False,519/20,0.0562,False,
